"Fecha";"fondo";"por_var";"peso";"n";"actualizacion";"menos2_5";"menos1_5";"mas_1_5";"porc_menos2_5";"porc_menos1_5";"porc_mas1_5"
"11/09/2024";"ALPHA";0.0400953642384106;4.73;1;2024-09-11 12:54:50;0;0;1;0;0;1
"11/09/2024";"BESTIDEAS";0.40757574048771;100.000000001;25;2024-09-11 12:54:50;4;6;7;0.16;0.24;0.28
"11/09/2024";"BOLSAESPANA";0.344322623753026;94.44;32;2024-09-11 12:54:50;5;9;5;0.16;0.28;0.16
"11/09/2024";"BOLSAEUROPA";0.198078362273378;88.37;58;2024-09-11 12:54:50;3;9;7;0.05;0.16;0.12
"11/09/2024";"BOLSAINTERNACIONAL";0.273316161991309;92.06;75;2024-09-11 12:54:50;1;9;13;0.01;0.12;0.17
"11/09/2024";"BOLSAUSA";0.340661403255409;95.23;77;2024-09-11 12:54:50;3;11;12;0.04;0.14;0.16
"11/09/2024";"DIVIDENDO";-0.258793919227536;92.46;43;2024-09-11 12:54:50;10;16;5;0.23;0.37;0.12
"11/09/2024";"FINANCIERO";-0.24504482384033;91.09;35;2024-09-11 12:54:50;10;12;7;0.29;0.34;0.2
"11/09/2024";"GLOBAL";0.225158604270558;95.47;49;2024-09-11 12:54:50;7;15;14;0.14;0.31;0.29
"11/09/2024";"JAPON";-1.36656939131927;93.84;46;2024-09-11 12:54:50;23;30;1;0.5;0.65;0.02
"11/09/2024";"MEGATRENDS";1.4058511663346;98.86;38;2024-09-11 12:54:50;4;8;15;0.11;0.21;0.39
"11/09/2024";"NEWENERGY";0.998930644501673;96.4;38;2024-09-11 12:54:50;4;7;15;0.11;0.18;0.39
"11/09/2024";"SANIDAD";0.124647862641004;103.65;51;2024-09-11 12:54:50;7;13;7;0.14;0.25;0.14
"11/09/2024";"SECTORINMOBILIARIO";-0.266090077877643;96.35;48;2024-09-11 12:54:50;8;14;5;0.17;0.29;0.1
"11/09/2024";"SMALLCAPS";-0.306893275694251;97.45;68;2024-09-11 12:54:50;6;12;5;0.09;0.18;0.07
"11/09/2024";"TECNOLOGICO";1.03807607114151;94.6;38;2024-09-11 12:54:50;2;2;16;0.05;0.05;0.42
"11/09/2024";"ZVIX";-0.235849056603773;10;1;2024-09-11 12:54:50;1;1;0;1;1;0
"11/09/2024";"ZVSTOXX";-0.536197135940626;30;3;2024-09-11 12:54:50;3;3;0;1;1;0
"11/09/2024";"ZVXN";-0.283657917019476;10;1;2024-09-11 12:54:50;1;1;0;1;1;0
